date,Execution Price,Size Tokens,Size USD,Closed PnL,Fee
2023-01-05,1898.1333333333332,0.25129999999999997,477.0,0.0,0.0
2023-05-12,11038.3,11.80901,50005.83,0.0,12.501455
2024-01-01,10373.330666666667,4178.78664,264239.52999999997,-129.53146,66.059867
2024-01-02,0.07612616666666668,44986.0,2008.18,0.0,0.5020439999999999
2024-01-03,2.725657408759124,25984676.0,472974.7,8244.241409,-0.546854
2024-01-04,1332.2278167402596,9563430.3674,339470.47,2507.963406,83.751362
2024-01-05,2916.8142857142857,29.825,87025.45,0.0,30.458908
2024-01-06,1.1308718,499938.0,12834.62,91.510419,4.492106
2024-01-07,1312.7375605675,1227237.4996,362670.14999999997,5065.839308,425.323025
2024-01-08,18740.473002526316,292827.2818435,227774.53,167.080017,108.095036
2024-01-09,44.57331249999999,5846.961139999999,12359.68,137.433093,4.325861
2024-01-10,62044.5,2.25636,139954.32,0.0,48.98401
2024-01-11,27379.532136956524,57939.29527,260981.03,1040.475736,90.654875
2024-01-12,6389.235122030456,3560119.23642001,814711.82,40886.364494,245.38375138
2024-02-01,10199.892598764705,208218.35486,121348.74,783.979116,30.337176
2024-02-02,15601.771341142858,42139.736820000006,474278.43,456.423473,91.569636
2024-02-03,0.8005309032258064,651733.0,63197.56,230.90060000000005,-0.4691290000000001
2024-02-04,3060.7089024390243,5958.1049,239664.50999999998,883.760812,80.13257399999999
2024-02-06,1.0599227956989248,31288.5,29464.51,192.906947,7.792912
2024-02-07,3.4119444444444444,11420.300000000001,33347.47,2421.253116,11.458730000000001
2024-02-08,14406.321016984128,68333.3740408,396320.37,782.3681909999999,145.520462
2024-02-09,2426.1,12.3657,30000.42,0.0,10.500148
2024-02-10,60911.0,1.64099,99954.34,0.0,34.984016999999994
2024-02-11,68880.0,0.58072,40000.0,0.0,13.999997
2024-02-12,6137.360651434223,210965.83884,585243.56,18489.604313,147.88781359
2024-03-01,738.8837898507463,64502.1274,394499.36,866.015507,98.624811
2024-03-02,29939.640223214286,9661.26755,603820.0,223.30918699999998,109.662349
2024-03-03,3.0333498607594938,48774887.74,390745.68,8361.086245,-2.507103
2024-03-04,8.3283,2310.0,16887.57,126.7884,1.661201
2024-03-05,1960.4601549999998,42527.4724,282682.64999999997,5306.017045,98.910681
